Quarter,Year,TechCorp Inc.,DataSystems LLC,CloudServices Co.
Q1,2020,2450000,1820000,3100000
Q2,2020,2380000,1750000,3250000
Q3,2020,2620000,1890000,3450000
Q4,2020,2890000,2150000,3780000
Q1,2021,3120000,2280000,4020000
Q2,2021,3340000,2410000,4350000
Q3,2021,3580000,2590000,4680000
Q4,2021,3920000,2890000,5120000
Q1,2022,4180000,3050000,5490000
Q2,2022,4520000,3220000,5830000
Q3,2022,4760000,3410000,6150000
Q4,2022,5140000,3780000,6620000
Q1,2023,5380000,3980000,6950000
Q2,2023,5620000,4150000,7280000
Q3,2023,5810000,4290000,7520000
Q4,2023,6250000,4680000,8100000
Q1,2024,6520000,4890000,8450000
Q2,2024,6780000,5040000,8790000
Q3,2024,6920000,5150000,8980000
Q4,2024,7380000,5620000,9650000
